15:01:45.183	SERVER	admin	OK	Server was started (port: 1984).
15:01:51.097	SERVER	admin	OK	Server was stopped (port: 1984).
19:07:20.972	SERVER	admin	OK	Server was started (port: 1984).
19:07:30.949	127.0.0.1:44618	admin	REQUEST	XQUERY <root>{ for $a in collection('SpotifyPlaylist')//element/track return <elem> {$a/name} {$a/external_urls/spotify} {$a/album/images/element/url} { for $b in $a/artists/element return <artista> {$b/name} {$b/id} </artista> } </elem> } </root>	100.33 ms
19:07:32.858	127.0.0.1:44618	admin	OK	Query executed in 1893.02 ms.	1908.24 ms
19:07:33.167	127.0.0.1:44618	admin	REQUEST	XQUERY <root>{ for $a in collection('SpotifyPlaylist')//element/track return <elem> {$a/name} {$a/external_urls/spotify} {$a/album/images/element/url} { for $b in $a/artists/element return <artista> {$b/name} {$b/id} </artista> } </elem> } </root>	0.91 ms
19:07:33.283	127.0.0.1:44618	admin	OK	Query executed in 114.89 ms.	115.78 ms
19:09:44.452	127.0.0.1:44618	admin	REQUEST	XQUERY <root>{ for $a in collection('SpotifyPlaylist')//element/track return <elem> {$a/name} {$a/external_urls/spotify} {$a/album/images/element/url} { for $b in $a/artists/element return <artista> {$b/name} {$b/id} </artista> } </elem> } </root>	1.86 ms
19:09:44.584	127.0.0.1:44618	admin	OK	Query executed in 126.61 ms.	131.41 ms
19:10:41.475	127.0.0.1:44618	admin	REQUEST	XQUERY <root>{ for $a in collection('SpotifyPlaylist')//element/track return <elem> {$a/name} {$a/external_urls/spotify} {$a/album/images/element/url} { for $b in $a/artists/element return <artista> {$b/name} {$b/id} </artista> } </elem> } </root>	1.63 ms
19:10:41.543	127.0.0.1:44618	admin	OK	Query executed in 66.2 ms.	68.25 ms
19:11:04.240	127.0.0.1:44618	admin	REQUEST	XQUERY <root>{ for $a in collection('SpotifyPlaylist')//element/track return <elem> {$a/name} {$a/external_urls/spotify} {$a/album/images/element/url} { for $b in $a/artists/element return <artista> {$b/name} {$b/id} </artista> } </elem> } </root>	1.89 ms
19:11:04.290	127.0.0.1:44618	admin	OK	Query executed in 48.61 ms.	49.93 ms
19:25:26.643	SERVER	admin	OK	Server was stopped (port: 1984).
20:34:10.405	SERVER	admin	OK	Server was started (port: 1984).
20:34:34.968	127.0.0.1:46562	admin	REQUEST	XQUERY <root>{ for $a in collection('SpotifyPlaylist')//element/track return <elem> {$a/name} {$a/external_urls/spotify} {$a/album/images/element/url} { for $b in $a/artists/element return <artista> {$b/name} {$b/id} </artista> } </elem> } </root>	101.36 ms
20:34:36.010	127.0.0.1:46562	admin	OK	Query executed in 1029.42 ms.	1041.66 ms
20:34:55.236	127.0.0.1:46562	admin	REQUEST	XQUERY <root>{ for $a in collection('SpotifyPlaylist')//element/track[artists/element/id/text()='31Cf1kpnuoNrrMvX87ptet'] return <elem> {$a/name} {$a/external_urls/spotify} {($a/album/images/element/url)[last()]} </elem> } </root>	0.9 ms
20:34:55.373	127.0.0.1:46562	admin	OK	Query executed in 135.62 ms.	137.08 ms
20:34:55.375	127.0.0.1:46562	admin	REQUEST	XQUERY <root>{ let $q := (collection('SpotifyPlaylist')//track/artists/element[id/text() ='31Cf1kpnuoNrrMvX87ptet'])[last()] return $q/name }</root>	1.13 ms
20:34:55.393	127.0.0.1:46562	admin	OK	Query executed in 16.76 ms.	18.51 ms
20:36:20.257	127.0.0.1:46608	admin	REQUEST	XQUERY <root>{ for $a in collection('SpotifyPlaylist')//element/track[artists/element/id/text()='31Cf1kpnuoNrrMvX87ptet'] return <elem> {$a/name} {$a/external_urls/spotify} {($a/album/images/element/url)[last()]} </elem> } </root>	0.39 ms
20:36:20.262	127.0.0.1:46608	admin	OK	Query executed in 4.78 ms.	5.46 ms
