10:54:55.012	SERVER	admin	OK	Server was started (port: 1984).
10:56:55.153	127.0.0.1:45912	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:home()	111.74 ms
10:56:56.751	127.0.0.1:45912	admin	OK	Query executed in 1577.59 ms.	1597.87 ms
10:58:05.073	127.0.0.1:45912	admin	REQUEST	XQUERY <root>{for $a in collection('SpotifyPlaylist')//playlistDemo return $a }</root>	0.66 ms
10:58:05.100	127.0.0.1:45912	admin	OK	Query executed in 26.01 ms.	26.75 ms
11:00:04.809	SERVER	admin	OK	Server was stopped (port: 1984).
12:26:02.867	SERVER	admin	OK	Server was started (port: 1984).
12:26:15.495	127.0.0.1:47332	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:home()	144.66 ms
12:26:16.344	127.0.0.1:47332	admin	OK	Query executed in 840.08 ms.	846.04 ms
12:33:02.067	SERVER	admin	OK	Server was stopped (port: 1984).
12:54:09.693	SERVER	admin	OK	Server was started (port: 1984).
12:55:31.776	127.0.0.1:50498	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:home()	130.45 ms
12:55:33.307	127.0.0.1:50498	admin	OK	Query executed in 1515.62 ms.	1530.89 ms
12:55:58.260	127.0.0.1:50498	admin	REQUEST	XQUERY <root>{for $a in collection('SpotifyPlaylist')//playlistDemo return $a }</root>	1.06 ms
12:55:58.273	127.0.0.1:50498	admin	OK	Query executed in 12.52 ms.	13.37 ms
12:57:00.365	127.0.0.1:50498	admin	REQUEST	XQUERY <root>{for $a in collection('SpotifyPlaylist')//playlistDemo return $a }</root>	1.31 ms
12:57:00.377	127.0.0.1:50498	admin	OK	Query executed in 11.22 ms.	12.11 ms
12:57:38.710	SERVER	admin	OK	Server was stopped (port: 1984).
17:08:26.205	SERVER	admin	OK	Server was started (port: 1984).
17:08:34.284	127.0.0.1:50880	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:home()	86.8 ms
17:08:36.205	127.0.0.1:50880	admin	OK	Query executed in 1911.94 ms.	1920.89 ms
17:08:40.063	127.0.0.1:50880	admin	REQUEST	XQUERY <root>{for $a in collection('SpotifyPlaylist')//playlistDemo return $a }</root>	1.95 ms
17:08:40.096	127.0.0.1:50880	admin	OK	Query executed in 30.08 ms.	32.36 ms
17:08:43.926	127.0.0.1:50880	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:last-playlistID()	2.02 ms
17:08:44.009	127.0.0.1:50880	admin	OK	Query executed in 81.41 ms.	82.8 ms
17:08:44.141	127.0.0.1:50880	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:musicas()	1.11 ms
